game_key,person_key,slot,hit,lineup_position,age,yoe,weight,height,bmi,bats,throws,b_prev_ba_scaled,b_career_ba_scaled,p_age,p_weight,p_height,p_bmi,p_throws
MIA201907140,hecha001,8,1,bottom,30,7,195,72,0.3692307692,R,R,24.662162162,25.42,23,200,77,0.385,R
ATL201908220,hecha001,6,1,mid,30,7,195,72,0.3692307692,R,R,24.662162162,25.42,23,200,77,0.385,R
NYN201905110,rosaa003,6,1,mid,23,2,190,74,0.3894736842,R,R,25.631768953,25.45,23,200,77,0.385,R
WAS201905250,eatoa002,2,1,top,30,7,176,69,0.3920454545,L,L,30.094043887,28.66,23,200,77,0.385,R
MIA201909080,mondr003,2,1,top,24,3,200,73,0.365,B,R,27.636363636,23.76,24,200,77,0.385,R
NYN201905110,confm001,5,1,mid,26,4,215,73,0.3395348837,L,R,24.309392265,25.11,23,200,77,0.385,R
MIA201907260,perad001,4,0,mid,31,5,220,73,0.3318181818,L,L,29.285714286,29.26,23,200,77,0.385,R
WAS201907030,roblv001,7,0,bottom,22,2,205,72,0.3512195122,R,R,28.813559322,27.71,23,200,77,0.385,R
NYN201905110,mcnej002,1,1,top,27,1,195,73,0.3743589744,L,R,32.888888889,32.89,23,200,77,0.385,R
MIL201906050,shawt001,7,0,bottom,29,4,230,76,0.3304347826,L,R,24.096385542,25.49,23,200,77,0.385,R
MIL201906050,yelic001,2,1,top,27,6,195,75,0.3846153846,L,R,32.578397213,29.69,23,200,77,0.385,R
PHI201909290,hasea001,5,1,mid,23,0,190,73,0.3842105263,L,L,0,,24,200,77,0.385,R
MIA201905300,sandp001,3,0,top,32,11,268,70,0.2611940299,B,R,24.782608696,28.11,23,200,77,0.385,R
NYN201909240,alonp001,3,0,top,24,0,245,75,0.306122449,R,R,0,,24,200,77,0.385,R
CLE201904240,gonzc001,5,0,mid,33,11,220,73,0.3318181818,L,L,27.645788337,28.70,23,200,77,0.385,R
MIA201905190,alonp001,4,0,mid,24,0,245,75,0.306122449,R,R,0,,23,200,77,0.385,R
MIL201906050,thame001,6,0,mid,32,8,235,71,0.3021276596,L,R,21.862348178,24.31,23,200,77,0.385,R
